"1050℃+150MPa蠕变条件/时间","1150℃+100MPa蠕变条件/时间","700MPa不均匀变形的蠕变测试/温度","700MPa晶界滑移的蠕变测试/温度","_id","Al","Al2O3涂层/Al2O3含量","Al2O3涂层/Al含量","Al2O3涂层/Fe含量","Al2O3涂层/NH4Cl含量","Al2O3涂层/NH5Cl含量","Al2O3涂层/加热时间","Al2O3涂层/温度","Al2O4涂层/加热时间","B","C","Co","Cr","Hf","Ir","Mo","Nb","Ni","Re","Ru","Ta","Ti","W","Zr","力学性能/蠕变应变","固溶处理/时间","固溶处理/温度","固溶处理油淬/时间","固溶处理油淬/温度","固溶处理（炉冷）/时间","固溶处理（炉冷）/温度","圆盘型显微结构724Mpa且677℃下蠕变测试/时间","均匀化处理/时间","均匀化处理/温度","备注","孔型显微结构724Mpa且677℃下蠕变测试/时间","拉伸/时间","拉伸蠕变测试/测试压力","拉伸蠕变测试/测试温度","拉伸蠕变测试/蠕变时间","摘录出处","数据DOI","数据审核者","数据来源方式","数据生产者","数据采集时间","施加恒定应力/应力","施加恒定温度/温度","时效处理/时间","时效处理/温度","时效处理/炉冷","时效处理/空冷","时效处理空冷/时间","时效处理空冷/温度","材料牌号","炉冷/温度","热挤压/热挤压温度","热轧/热轧时间","热轧/热轧温度","直径/坯料直径","第一次轧制/温度","第二次轧制/温度","蠕变变形测试/时间","蠕变变形测试/测试温度","蠕变变形测试/蠕变应力","蠕变实验/平均压力","蠕变实验/平均应力","蠕变实验/时间","蠕变实验/晶向","蠕变实验/温度","蠕变断裂/加载应力","蠕变断裂/时间","蠕变断裂实验/温度","蠕变断裂测试/温度","蠕变测试/压力","蠕变测试/应力","蠕变测试/时间","蠕变测试/晶格取向","蠕变测试/温度","蠕变测试/蠕变应力","蠕变测试/蠕变时间","蠕变测试/蠕变温度","蠕变测试/试样厚度","退火/退火时间","退火/退火温度","重量/铸锭重量","镀铝/镀铝"
,,,,"ObjectId(""5b4cc280e6b1a819a85d66a9"")","3.4",,,,,,,,,"0.025","0.05","20.6","13.0",,,"3.8","0.9","balance",,,,"3.7","2.1","0.05","0.557%",,,,,,,"1906.98hrs",,,"",,,,,,"R. R. Unocic, L. Kovarik, C. Shen, et al. Deformation mechanism in Ni-base disk superalloys at high temperatures[J]. 2008.","10.11961/mater0203.MGI.20171221.ds.0070","尹海清","摘录","徐斌","2018-01-09",,,,,,,,,"ME3/Rene104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4cc285e6b1a819a85d66ab"")","3.4",,,,,,,,,"0.025","0.05","20.6","13.0",,,"3.8","0.9","balance",,,,"3.7","2.1","0.05","0.591%",,,,,,,"1976.74hrs",,,"",,,,,,"R. R. Unocic, L. Kovarik, C. Shen, et al. Deformation mechanism in Ni-base disk superalloys at high temperatures[J]. 2008.","10.11961/mater0203.MGI.20171221.ds.0070","尹海清","摘录","徐斌","2018-01-09",,,,,,,,,"ME3/Rene104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4cc28ae6b1a819a85d66ad"")","3.4",,,,,,,,,"0.025","0.05","20.6","13.0",,,"3.8","0.9","balance",,,,"3.7","2.1","0.05","0.567%",,,,,,,"1930.23hrs",,,"",,,,,,"R. R. Unocic, L. Kovarik, C. Shen, et al. Deformation mechanism in Ni-base disk superalloys at high temperatures[J]. 2008.","10.11961/mater0203.MGI.20171221.ds.0070","尹海清","摘录","徐斌","2018-01-09",,,,,,,,,"ME3/Rene104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4cc28fe6b1a819a85d66af"")","3.4",,,,,,,,,"0.025","0.05","20.6","13.0",,,"3.8","0.9","balance",,,,"3.7","2.1","0.05","0.600%",,,,,,,"2011.63hrs",,,"",,,,,,"R. R. Unocic, L. Kovarik, C. Shen, et al. Deformation mechanism in Ni-base disk superalloys at high temperatures[J]. 2008.","10.11961/mater0203.MGI.20171221.ds.0070","尹海清","摘录","徐斌","2018-01-09",,,,,,,,,"ME3/Rene104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4cc294e6b1a819a85d66b1"")","3.4",,,,,,,,,"0.025","0.05","20.6","13.0",,,"3.8","0.9","balance",,,,"3.7","2.1","0.05","0.491%",,,,,,,"1744.19hrs",,,"",,,,,,"R. R. Unocic, L. Kovarik, C. Shen, et al. Deformation mechanism in Ni-base disk superalloys at high temperatures[J]. 2008.","10.11961/mater0203.MGI.20171221.ds.0070","尹海清","摘录","徐斌","2018-01-09",,,,,,,,,"ME3/Rene104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4cc299e6b1a819a85d66b3"")","3.4",,,,,,,,,"0.025","0.05","20.6","13.0",,,"3.8","0.9","balance",,,,"3.7","2.1","0.05","0.477%",,,,,,,"1709.30hrs",,,"",,,,,,"R. R. Unocic, L. Kovarik, C. Shen, et al. Deformation mechanism in Ni-base disk superalloys at high temperatures[J]. 2008.","10.11961/mater0203.MGI.20171221.ds.0070","尹海清","摘录","徐斌","2018-01-09",,,,,,,,,"ME3/Rene104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4cc29de6b1a819a85d66b5"")","3.4",,,,,,,,,"0.025","0.05","20.6","13.0",,,"3.8","0.9","balance",,,,"3.7","2.1","0.05","0.614%",,,,,,,"2034.88hrs",,,"",,,,,,"R. R. Unocic, L. Kovarik, C. Shen, et al. Deformation mechanism in Ni-base disk superalloys at high temperatures[J]. 2008.","10.11961/mater0203.MGI.20171221.ds.0070","尹海清","摘录","徐斌","2018-01-09",,,,,,,,,"ME3/Rene104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4cc2a2e6b1a819a85d66b7"")","3.4",,,,,,,,,"0.025","0.05","20.6","13.0",,,"3.8","0.9","balance",,,,"3.7","2.1","0.05","0.515%",,,,,,,"1802.33hrs",,,"",,,,,,"R. R. Unocic, L. Kovarik, C. Shen, et al. Deformation mechanism in Ni-base disk superalloys at high temperatures[J]. 2008.","10.11961/mater0203.MGI.20171221.ds.0070","尹海清","摘录","徐斌","2018-01-09",,,,,,,,,"ME3/Rene104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4cc2a7e6b1a819a85d66b9"")","3.4",,,,,,,,,"0.025","0.05","20.6","13.0",,,"3.8","0.9","balance",,,,"3.7","2.1","0.05","0.529%",,,,,,,"1837.21hrs",,,"",,,,,,"R. R. Unocic, L. Kovarik, C. Shen, et al. Deformation mechanism in Ni-base disk superalloys at high temperatures[J]. 2008.","10.11961/mater0203.MGI.20171221.ds.0070","尹海清","摘录","徐斌","2018-01-09",,,,,,,,,"ME3/Rene104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4cc2b1e6b1a819a85d66bb"")","3.4",,,,,,,,,"0.025","0.05","20.6","13.0",,,"3.8","0.9","balance",,,,"3.7","2.1","0.05","0.425%",,,,,,,"1569.77hrs",,,"",,,,,,"R. R. Unocic, L. Kovarik, C. Shen, et al. Deformation mechanism in Ni-base disk superalloys at high temperatures[J]. 2008.","10.11961/mater0203.MGI.20171221.ds.0070","尹海清","摘录","徐斌","2018-01-09",,,,,,,,,"ME3/Rene104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4cc2b6e6b1a819a85d66bd"")","3.4",,,,,,,,,"0.025","0.05","20.6","13.0",,,"3.8","0.9","balance",,,,"3.7","2.1","0.05","0.326%",,,,,,,"1279.07hrs",,,"",,,,,,"R. R. Unocic, L. Kovarik, C. Shen, et al. Deformation mechanism in Ni-base disk superalloys at high temperatures[J]. 2008.","10.11961/mater0203.MGI.20171221.ds.0070","尹海清","摘录","徐斌","2018-01-09",,,,,,,,,"ME3/Rene104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4cc2bbe6b1a819a85d66bf"")","3.4",,,,,,,,,"0.025","0.05","20.6","13.0",,,"3.8","0.9","balance",,,,"3.7","2.1","0.05","0.307%",,,,,,,"1209.30hrs",,,"",,,,,,"R. R. Unocic, L. Kovarik, C. Shen, et al. Deformation mechanism in Ni-base disk superalloys at high temperatures[J]. 2008.","10.11961/mater0203.MGI.20171221.ds.0070","尹海清","摘录","徐斌","2018-01-09",,,,,,,,,"ME3/Rene104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4cc2c0e6b1a819a85d66c1"")","3.4",,,,,,,,,"0.025","0.05","20.6","13.0",,,"3.8","0.9","balance",,,,"3.7","2.1","0.05","0.392%",,,,,,,"1476.74hrs",,,"",,,,,,"R. R. Unocic, L. Kovarik, C. Shen, et al. Deformation mechanism in Ni-base disk superalloys at high temperatures[J]. 2008.","10.11961/mater0203.MGI.20171221.ds.0070","尹海清","摘录","徐斌","2018-01-09",,,,,,,,,"ME3/Rene104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4cc2c4e6b1a819a85d66c3"")","3.4",,,,,,,,,"0.025","0.05","20.6","13.0",,,"3.8","0.9","balance",,,,"3.7","2.1","0.05","0.279%",,,,,,,"1127.91hrs",,,"",,,,,,"R. R. Unocic, L. Kovarik, C. Shen, et al. Deformation mechanism in Ni-base disk superalloys at high temperatures[J]. 2008.","10.11961/mater0203.MGI.20171221.ds.0070","尹海清","摘录","徐斌","2018-01-09",,,,,,,,,"ME3/Rene104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4cc2cae6b1a819a85d66c5"")","3.4",,,,,,,,,"0.025","0.05","20.6","13.0",,,"3.8","0.9","balance",,,,"3.7","2.1","0.05","0.378%",,,,,,,"1441.86hrs",,,"",,,,,,"R. R. Unocic, L. Kovarik, C. Shen, et al. Deformation mechanism in Ni-base disk superalloys at high temperatures[J]. 2008.","10.11961/mater0203.MGI.20171221.ds.0070","尹海清","摘录","徐斌","2018-01-09",,,,,,,,,"ME3/Rene104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4cc2cfe6b1a819a85d66c7"")","3.4",,,,,,,,,"0.025","0.05","20.6","13.0",,,"3.8","0.9","balance",,,,"3.7","2.1","0.05","0.411%",,,,,,,"1546.51hrs",,,"",,,,,,"R. R. Unocic, L. Kovarik, C. Shen, et al. Deformation mechanism in Ni-base disk superalloys at high temperatures[J]. 2008.","10.11961/mater0203.MGI.20171221.ds.0070","尹海清","摘录","徐斌","2018-01-09",,,,,,,,,"ME3/Rene104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4cc2d4e6b1a819a85d66c9"")","3.4",,,,,,,,,"0.025","0.05","20.6","13.0",,,"3.8","0.9","balance",,,,"3.7","2.1","0.05","0.350%",,,,,,,"1360.47hrs",,,"",,,,,,"R. R. Unocic, L. Kovarik, C. Shen, et al. Deformation mechanism in Ni-base disk superalloys at high temperatures[J]. 2008.","10.11961/mater0203.MGI.20171221.ds.0070","尹海清","摘录","徐斌","2018-01-09",,,,,,,,,"ME3/Rene104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4cc2d9e6b1a819a85d66cb"")","3.4",,,,,,,,,"0.025","0.05","20.6","13.0",,,"3.8","0.9","balance",,,,"3.7","2.1","0.05","0.293%",,,,,,,"1186.05hrs",,,"",,,,,,"R. R. Unocic, L. Kovarik, C. Shen, et al. Deformation mechanism in Ni-base disk superalloys at high temperatures[J]. 2008.","10.11961/mater0203.MGI.20171221.ds.0070","尹海清","摘录","徐斌","2018-01-09",,,,,,,,,"ME3/Rene104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4cc2dee6b1a819a85d66cd"")","3.4",,,,,,,,,"0.025","0.05","20.6","13.0",,,"3.8","0.9","balance",,,,"3.7","2.1","0.05","0.288%",,,,,,,"1162.79hrs",,,"",,,,,,"R. R. Unocic, L. Kovarik, C. Shen, et al. Deformation mechanism in Ni-base disk superalloys at high temperatures[J]. 2008.","10.11961/mater0203.MGI.20171221.ds.0070","尹海清","摘录","徐斌","2018-01-09",,,,,,,,,"ME3/Rene104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4cc2e2e6b1a819a85d66cf"")","3.4",,,,,,,,,"0.025","0.05","20.6","13.0",,,"3.8","0.9","balance",,,,"3.7","2.1","0.05","0.369%",,,,,,,"1418.60hrs",,,"",,,,,,"R. R. Unocic, L. Kovarik, C. Shen, et al. Deformation mechanism in Ni-base disk superalloys at high temperatures[J]. 2008.","10.11961/mater0203.MGI.20171221.ds.0070","尹海清","摘录","徐斌","2018-01-09",,,,,,,,,"ME3/Rene104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4cc2e7e6b1a819a85d66d1"")","3.4",,,,,,,,,"0.025","0.05","20.6","13.0",,,"3.8","0.9","balance",,,,"3.7","2.1","0.05","0.402%",,,,,,,"1511.63hrs",,,"",,,,,,"R. R. Unocic, L. Kovarik, C. Shen, et al. Deformation mechanism in Ni-base disk superalloys at high temperatures[J]. 2008.","10.11961/mater0203.MGI.20171221.ds.0070","尹海清","摘录","徐斌","2018-01-09",,,,,,,,,"ME3/Rene104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4cc2ece6b1a819a85d66d3"")","3.4",,,,,,,,,"0.025","0.05","20.6","13.0",,,"3.8","0.9","balance",,,,"3.7","2.1","0.05","0.317%",,,,,,,"1244.19hrs",,,"",,,,,,"R. R. Unocic, L. Kovarik, C. Shen, et al. Deformation mechanism in Ni-base disk superalloys at high temperatures[J]. 2008.","10.11961/mater0203.MGI.20171221.ds.0070","尹海清","摘录","徐斌","2018-01-09",,,,,,,,,"ME3/Rene104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4cc2f1e6b1a819a85d66d5"")","3.4",,,,,,,,,"0.025","0.05","20.6","13.0",,,"3.8","0.9","balance",,,,"3.7","2.1","0.05","0.340%",,,,,,,"1325.58hrs",,,"",,,,,,"R. R. Unocic, L. Kovarik, C. Shen, et al. Deformation mechanism in Ni-base disk superalloys at high temperatures[J]. 2008.","10.11961/mater0203.MGI.20171221.ds.0070","尹海清","摘录","徐斌","2018-01-09",,,,,,,,,"ME3/Rene104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4cc2f6e6b1a819a85d66d7"")","3.4",,,,,,,,,"0.025","0.05","20.6","13.0",,,"3.8","0.9","balance",,,,"3.7","2.1","0.05","0.359%",,,,,,,"1383.72hrs",,,"",,,,,,"R. R. Unocic, L. Kovarik, C. Shen, et al. Deformation mechanism in Ni-base disk superalloys at high temperatures[J]. 2008.","10.11961/mater0203.MGI.20171221.ds.0070","尹海清","摘录","徐斌","2018-01-09",,,,,,,,,"ME3/Rene104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4cc300e6b1a819a85d66d9"")","3.4",,,,,,,,,"0.025","0.05","20.6","13.0",,,"3.8","0.9","balance",,,,"3.7","2.1","0.05","0.194%",,,,,,,"802.33hrs",,,"",,,,,,"R. R. Unocic, L. Kovarik, C. Shen, et al. Deformation mechanism in Ni-base disk superalloys at high temperatures[J]. 2008.","10.11961/mater0203.MGI.20171221.ds.0070","尹海清","摘录","徐斌","2018-01-09",,,,,,,,,"ME3/Rene104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4cc304e6b1a819a85d66db"")","3.4",,,,,,,,,"0.025","0.05","20.6","13.0",,,"3.8","0.9","balance",,,,"3.7","2.1","0.05","0.203%",,,,,,,"848.84hrs",,,"",,,,,,"R. R. Unocic, L. Kovarik, C. Shen, et al. Deformation mechanism in Ni-base disk superalloys at high temperatures[J]. 2008.","10.11961/mater0203.MGI.20171221.ds.0070","尹海清","摘录","徐斌","2018-01-09",,,,,,,,,"ME3/Rene104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4cc309e6b1a819a85d66dd"")","3.4",,,,,,,,,"0.025","0.05","20.6","13.0",,,"3.8","0.9","balance",,,,"3.7","2.1","0.05","0.189%",,,,,,,"779.07hrs",,,"",,,,,,"R. R. Unocic, L. Kovarik, C. Shen, et al. Deformation mechanism in Ni-base disk superalloys at high temperatures[J]. 2008.","10.11961/mater0203.MGI.20171221.ds.0070","尹海清","摘录","徐斌","2018-01-09",,,,,,,,,"ME3/Rene104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4cc30ee6b1a819a85d66df"")","3.4",,,,,,,,,"0.025","0.05","20.6","13.0",,,"3.8","0.9","balance",,,,"3.7","2.1","0.05","0.269%",,,,,,,"1093.02hrs",,,"",,,,,,"R. R. Unocic, L. Kovarik, C. Shen, et al. Deformation mechanism in Ni-base disk superalloys at high temperatures[J]. 2008.","10.11961/mater0203.MGI.20171221.ds.0070","尹海清","摘录","徐斌","2018-01-09",,,,,,,,,"ME3/Rene104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4cc313e6b1a819a85d66e1"")","3.4",,,,,,,,,"0.025","0.05","20.6","13.0",,,"3.8","0.9","balance",,,,"3.7","2.1","0.05","0.227%",,,,,,,"930.23hrs",,,"",,,,,,"R. R. Unocic, L. Kovarik, C. Shen, et al. Deformation mechanism in Ni-base disk superalloys at high temperatures[J]. 2008.","10.11961/mater0203.MGI.20171221.ds.0070","尹海清","摘录","徐斌","2018-01-09",,,,,,,,,"ME3/Rene104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4cc318e6b1a819a85d66e3"")","3.4",,,,,,,,,"0.025","0.05","20.6","13.0",,,"3.8","0.9","balance",,,,"3.7","2.1","0.05","0.260%",,,,,,,"1058.14hrs",,,"",,,,,,"R. R. Unocic, L. Kovarik, C. Shen, et al. Deformation mechanism in Ni-base disk superalloys at high temperatures[J]. 2008.","10.11961/mater0203.MGI.20171221.ds.0070","尹海清","摘录","徐斌","2018-01-09",,,,,,,,,"ME3/Rene104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4cc31de6b1a819a85d66e5"")","3.4",,,,,,,,,"0.025","0.05","20.6","13.0",,,"3.8","0.9","balance",,,,"3.7","2.1","0.05","0.241%",,,,,,,"988.37hrs",,,"",,,,,,"R. R. Unocic, L. Kovarik, C. Shen, et al. Deformation mechanism in Ni-base disk superalloys at high temperatures[J]. 2008.","10.11961/mater0203.MGI.20171221.ds.0070","尹海清","摘录","徐斌","2018-01-09",,,,,,,,,"ME3/Rene104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4cc321e6b1a819a85d66e7"")","3.4",,,,,,,,,"0.025","0.05","20.6","13.0",,,"3.8","0.9","balance",,,,"3.7","2.1","0.05","0.217%",,,,,,,"895.35hrs",,,"",,,,,,"R. R. Unocic, L. Kovarik, C. Shen, et al. Deformation mechanism in Ni-base disk superalloys at high temperatures[J]. 2008.","10.11961/mater0203.MGI.20171221.ds.0070","尹海清","摘录","徐斌","2018-01-09",,,,,,,,,"ME3/Rene104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4cc326e6b1a819a85d66e9"")","3.4",,,,,,,,,"0.025","0.05","20.6","13.0",,,"3.8","0.9","balance",,,,"3.7","2.1","0.05","0.175%",,,,,,,"709.30hrs",,,"",,,,,,"R. R. Unocic, L. Kovarik, C. Shen, et al. Deformation mechanism in Ni-base disk superalloys at high temperatures[J]. 2008.","10.11961/mater0203.MGI.20171221.ds.0070","尹海清","摘录","徐斌","2018-01-09",,,,,,,,,"ME3/Rene104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4cc32be6b1a819a85d66eb"")","3.4",,,,,,,,,"0.025","0.05","20.6","13.0",,,"3.8","0.9","balance",,,,"3.7","2.1","0.05","0.246%",,,,,,,"1011.63hrs",,,"",,,,,,"R. R. Unocic, L. Kovarik, C. Shen, et al. Deformation mechanism in Ni-base disk superalloys at high temperatures[J]. 2008.","10.11961/mater0203.MGI.20171221.ds.0070","尹海清","摘录","徐斌","2018-01-09",,,,,,,,,"ME3/Rene104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4cc330e6b1a819a85d66ed"")","3.4",,,,,,,,,"0.025","0.05","20.6","13.0",,,"3.8","0.9","balance",,,,"3.7","2.1","0.05","0.231%",,,,,,,"953.49hrs",,,"",,,,,,"R. R. Unocic, L. Kovarik, C. Shen, et al. Deformation mechanism in Ni-base disk superalloys at high temperatures[J]. 2008.","10.11961/mater0203.MGI.20171221.ds.0070","尹海清","摘录","徐斌","2018-01-09",,,,,,,,,"ME3/Rene104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4cc335e6b1a819a85d66ef"")","3.4",,,,,,,,,"0.025","0.05","20.6","13.0",,,"3.8","0.9","balance",,,,"3.7","2.1","0.05","0.213%",,,,,,,"883.72hrs",,,"",,,,,,"R. R. Unocic, L. Kovarik, C. Shen, et al. Deformation mechanism in Ni-base disk superalloys at high temperatures[J]. 2008.","10.11961/mater0203.MGI.20171221.ds.0070","尹海清","摘录","徐斌","2018-01-09",,,,,,,,,"ME3/Rene104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4cc33ae6b1a819a85d66f1"")","3.4",,,,,,,,,"0.025","0.05","20.6","13.0",,,"3.8","0.9","balance",,,,"3.7","2.1","0.05","0.170%",,,,,,,"674.42hrs",,,"",,,,,,"R. R. Unocic, L. Kovarik, C. Shen, et al. Deformation mechanism in Ni-base disk superalloys at high temperatures[J]. 2008.","10.11961/mater0203.MGI.20171221.ds.0070","尹海清","摘录","徐斌","2018-01-09",,,,,,,,,"ME3/Rene104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4cc33fe6b1a819a85d66f3"")","3.4",,,,,,,,,"0.025","0.05","20.6","13.0",,,"3.8","0.9","balance",,,,"3.7","2.1","0.05","0.255%",,,,,,,"1034.88hrs",,,"",,,,,,"R. R. Unocic, L. Kovarik, C. Shen, et al. Deformation mechanism in Ni-base disk superalloys at high temperatures[J]. 2008.","10.11961/mater0203.MGI.20171221.ds.0070","尹海清","摘录","徐斌","2018-01-09",,,,,,,,,"ME3/Rene104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4cc344e6b1a819a85d66f5"")","3.4",,,,,,,,,"0.025","0.05","20.6","13.0",,,"3.8","0.9","balance",,,,"3.7","2.1","0.05","0.184%",,,,,,,"744.19hrs",,,"",,,,,,"R. R. Unocic, L. Kovarik, C. Shen, et al. Deformation mechanism in Ni-base disk superalloys at high temperatures[J]. 2008.","10.11961/mater0203.MGI.20171221.ds.0070","尹海清","摘录","徐斌","2018-01-09",,,,,,,,,"ME3/Rene104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4cc34de6b1a819a85d66f7"")","3.4",,,,,,,,,"0.025","0.05","20.6","13.0",,,"3.8","0.9","balance",,,,"3.7","2.1","0.05","0.137%",,,,,,,"511.63hrs",,,"",,,,,,"R. R. Unocic, L. Kovarik, C. Shen, et al. Deformation mechanism in Ni-base disk superalloys at high temperatures[J]. 2008.","10.11961/mater0203.MGI.20171221.ds.0070","尹海清","摘录","徐斌","2018-01-09",,,,,,,,,"ME3/Rene104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4cc352e6b1a819a85d66f9"")","3.4",,,,,,,,,"0.025","0.05","20.6","13.0",,,"3.8","0.9","balance",,,,"3.7","2.1","0.05","0.104%",,,,,,,"360.46hrs",,,"",,,,,,"R. R. Unocic, L. Kovarik, C. Shen, et al. Deformation mechanism in Ni-base disk superalloys at high temperatures[J]. 2008.","10.11961/mater0203.MGI.20171221.ds.0070","尹海清","摘录","徐斌","2018-01-09",,,,,,,,,"ME3/Rene104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4cc357e6b1a819a85d66fb"")","3.4",,,,,,,,,"0.025","0.05","20.6","13.0",,,"3.8","0.9","balance",,,,"3.7","2.1","0.05","0.156%",,,,,,,"604.65hrs",,,"",,,,,,"R. R. Unocic, L. Kovarik, C. Shen, et al. Deformation mechanism in Ni-base disk superalloys at high temperatures[J]. 2008.","10.11961/mater0203.MGI.20171221.ds.0070","尹海清","摘录","徐斌","2018-01-09",,,,,,,,,"ME3/Rene104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4cc35ce6b1a819a85d66fd"")","3.4",,,,,,,,,"0.025","0.05","20.6","13.0",,,"3.8","0.9","balance",,,,"3.7","2.1","0.05","0.128%",,,,,,,"476.74hrs",,,"",,,,,,"R. R. Unocic, L. Kovarik, C. Shen, et al. Deformation mechanism in Ni-base disk superalloys at high temperatures[J]. 2008.","10.11961/mater0203.MGI.20171221.ds.0070","尹海清","摘录","徐斌","2018-01-09",,,,,,,,,"ME3/Rene104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4cc361e6b1a819a85d66ff"")","3.4",,,,,,,,,"0.025","0.05","20.6","13.0",,,"3.8","0.9","balance",,,,"3.7","2.1","0.05","0.142%",,,,,,,"546.51hrs",,,"",,,,,,"R. R. Unocic, L. Kovarik, C. Shen, et al. Deformation mechanism in Ni-base disk superalloys at high temperatures[J]. 2008.","10.11961/mater0203.MGI.20171221.ds.0070","尹海清","摘录","徐斌","2018-01-09",,,,,,,,,"ME3/Rene104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4cc366e6b1a819a85d6701"")","3.4",,,,,,,,,"0.025","0.05","20.6","13.0",,,"3.8","0.9","balance",,,,"3.7","2.1","0.05","0.080%",,,,,,,"267.44hrs",,,"",,,,,,"R. R. Unocic, L. Kovarik, C. Shen, et al. Deformation mechanism in Ni-base disk superalloys at high temperatures[J]. 2008.","10.11961/mater0203.MGI.20171221.ds.0070","尹海清","摘录","徐斌","2018-01-09",,,,,,,,,"ME3/Rene104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ObjectId(""5b4cc36ae6b1a819a85d6703"")","3.4",,,,,,,,,"0.025","0.05","20.6","13.0",,,"3.8","0.9","balance",,,,"3.7","2.1","0.05","0.161%",,,,,,,"639.53hrs",,,"",,,,,,"R. R. Unocic, L. Kovarik, C. Shen, et al. Deformation mechanism in Ni-base disk superalloys at high temperatures[J]. 2008.","10.11961/mater0203.MGI.20171221.ds.0070","尹海清","摘录","徐斌","2018-01-09",,,,,,,,,"ME3/Rene104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
